# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
54.7612473, -6.1512798, 9.6539178, 2.0476469, -0.0677432, 3.2867477, 0.2965108
55.2590768, -6.6007919, 9.4376254, 1.9764234, -0.2403955, 3.3313562, -0.1845643
55.7569063, -7.0681078, 9.2770465, 1.8211333, -0.3147984, 3.3036603, 0.8919439
56.2547358, -7.5556267, 9.1885453, 1.6859447, -0.2395672, 3.4354393, 1.0275993
56.7525653, -8.0533590, 9.1587864, 1.5797992, -0.1837072, 3.5812542, 1.5370943
57.2503949, -8.5527855, 9.1749420, 1.5029935, -0.1125824, 3.7889053, 2.0723950
57.7482244, -9.0500102, 9.2190993, 1.4679925, -0.0345284, 4.0520615, 2.4911845
58.2460539, -9.5447136, 9.2718815, 1.4644215, 0.0020925, 4.3473639, 2.7062114
58.7438834, -10.0389189, 9.3248052, 1.4633867, -0.0019109, 4.6469384, 2.3776055
59.2417129, -10.5334133, 9.3780789, 1.4638261, 0.0005321, 4.8950302, 1.0432076
59.7395425, -11.0278509, 9.4313585, 1.4624043, -0.0078805, 5.0000000, -0.2463576
60.2373720, -11.5221156, 9.4866330, 1.4553905, -0.0207236, 4.9754107, -1.7037674
60.7352015, -12.0157683, 9.5469849, 1.4418153, -0.0338078, 4.8019101, -3.0167181
61.2330310, -12.5084152, 9.6155490, 1.4227152, -0.0393153, 4.4782494, -2.8966329
61.7308605, -12.9995611, 9.6936049, 1.4039221, -0.0361467, 4.1437494, -2.8120095
62.2286901, -13.4897891, 9.7804878, 1.3881631, -0.0173429, 3.7908912, -2.6943898
62.7265196, -13.9808427, 9.8714859, 1.3911075, 0.0377382, 3.4187955, -2.5303942
63.2243491, -14.4732979, 9.9522088, 1.4334894, 0.1336351, 3.0279948, -2.4637970
63.7221786, -14.9681377, 9.9993610, 1.5280477, 0.2542313, 2.5914573, -2.5810331
64.2200081, -15.4660796, 9.9807897, 1.7074325, 0.4874936, 2.0361292, -1.6335131
64.7178377, -15.9416274, 9.8414586, 2.0393451, 0.9219088, 1.5872618, -1.4037751
65.2156672, -16.3362670, 9.5319209, 2.3946466, 0.6023088, 1.0591122, -0.1222493
65.7134967, -16.5146796, 9.1408765, 2.7064279, 1.0254123, 1.0000000, 0.0000000
66.2113262, -16.6295892, 8.6518617, 3.0892519, 0.7395211, 1.0000000, 0.0000000
66.7091557, -16.6614994, 8.1608593, -2.8149367, 0.7396109, 1.0000000, 0.3475552
67.2069853, -16.4381595, 7.7182091, -2.5783147, 0.2271592, 1.1601924, 1.2114002
67.7048148, -16.1556269, 7.3065167, -2.5134353, 0.0659856, 1.5975569, 2.3200629
68.2026443, -15.8576033, 6.9059503, -2.4912824, 0.0440257, 2.2050351, 2.6983533
68.7004738, -15.5506325, 6.5129392, -2.4622899, 0.0821418, 2.7475115, 2.4482688
69.1983034, -15.2277540, 6.1336185, -2.4041235, 0.1584449, 3.1601361, 1.2970209
69.6961329, -14.8766988, 5.7815765, -2.3052521, 0.2322955, 3.3582512, 0.0101757
70.1939624, -14.4891074, 5.4723314, -2.1823904, 0.2465326, 3.3597593, -0.8694424
70.6917919, -14.0633303, 5.2168520, -2.0282549, 0.3661113, 3.2283609, 0.4944563
